lr-Adam,step,tr_loss,tr_loss_hmm,tr_loss_Y,tr_reg_l1,tr_reg_emission,epoch,val_loss,val_loss_hmm,val_loss_Y
0.01,0,,,,,,,,,
,2,40.815494537353516,4.899421691894531,35.91947555541992,0.00507403863593936,-0.00847761332988739,0,,,
,5,34.35986328125,4.59537410736084,29.767847061157227,0.0051623256877064705,-0.00851957406848669,0,,,
,8,37.05591583251953,5.1338372230529785,31.925430297851562,0.005200944375246763,-0.008552193641662598,0,,,
,11,34.307289123535156,5.008485794067383,29.302146911621094,0.0052459160797297955,-0.008587457239627838,0,,,
,14,40.2232780456543,4.340449810028076,35.88615798950195,0.005298234056681395,-0.00862841121852398,0,,,
,17,37.890281677246094,5.138778209686279,32.75479507446289,0.005378925707191229,-0.008671156130731106,0,,,
,20,38.14920425415039,5.141881465911865,33.01057815551758,0.0054711103439331055,-0.008725497871637344,0,,,
,23,39.41889190673828,5.229958534240723,34.192134857177734,0.005580810829997063,-0.008783090859651566,0,,,
,26,44.24226760864258,4.962284564971924,39.283138275146484,0.005676225759088993,-0.008832577615976334,0,,,
,28,,,,,,0,38.9962272644043,5.026684284210205,33.97265625
0.01,29,,,,,,,,,
,29,39.879798889160156,5.148492813110352,34.73442840576172,0.005759259685873985,-0.00887997541576624,1,,,
,32,37.56409454345703,5.0093607902526855,32.557830810546875,0.005827350541949272,-0.00892607681453228,1,,,
,35,37.115516662597656,5.177037239074707,31.94154167175293,0.005905648693442345,-0.008967301808297634,1,,,
,38,38.958011627197266,4.917340278625488,34.04368591308594,0.005992087535560131,-0.009007873944938183,1,,,
,41,34.72408676147461,5.299972057342529,29.427087783813477,0.006082257721573114,-0.009050470776855946,1,,,
,44,35.717628479003906,4.62120246887207,31.09933090209961,0.006187835242599249,-0.009093698114156723,1,,,
,47,41.95790481567383,5.370570182800293,36.590187072753906,0.006274785380810499,-0.009130170568823814,1,,,
,50,38.685935974121094,5.383108615875244,33.305660247802734,0.0063255238346755505,-0.009159760549664497,1,,,
,53,40.57090759277344,4.9135847091674805,35.66013717651367,0.006377086043357849,-0.009193512611091137,1,,,
,56,36.658592224121094,5.439130783081055,31.222244262695312,0.006441714707762003,-0.00922949519008398,1,,,
,57,,,,,,1,38.8207893371582,4.921292304992676,33.90224838256836
0.01,58,,,,,,,,,
,59,35.37919235229492,5.411785125732422,29.970157623291016,0.006509571801871061,-0.009260042570531368,2,,,
,62,33.63814163208008,4.713486671447754,28.9273681640625,0.006581390742212534,-0.009291401132941246,2,,,
,65,34.59424591064453,4.847323417663574,29.74959945678711,0.0066464366391301155,-0.009322939440608025,2,,,
,68,33.650238037109375,4.490586280822754,29.16230583190918,0.006689286325126886,-0.00934606697410345,2,,,
,71,40.77159118652344,4.83384895324707,35.940364837646484,0.0067480443976819515,-0.009373935870826244,2,,,
,74,37.67121887207031,5.37270450592041,32.30110549926758,0.006818299647420645,-0.009407123550772667,2,,,
,77,39.367557525634766,5.069557189941406,34.300537109375,0.006905070971697569,-0.009441650472581387,2,,,
,80,39.569969177246094,4.978527069091797,34.59394454956055,0.006966342683881521,-0.00946968887001276,2,,,
,83,34.40371322631836,4.877880096435547,29.5283145904541,0.007008742541074753,-0.00948962103575468,2,,,
,86,37.57252502441406,4.437315940856934,33.137664794921875,0.007063266821205616,-0.009521023370325565,2,,,
,86,,,,,,2,38.617042541503906,4.840109348297119,33.77938461303711
0.01,87,,,,,,,,,
,89,34.63658142089844,5.207788467407227,29.431211471557617,0.0071388366632163525,-0.009554880671203136,3,,,
,92,36.819950103759766,4.52823543548584,32.29408264160156,0.007225223816931248,-0.009593854658305645,3,,,
,95,41.81510925292969,5.300273418426514,36.51717758178711,0.007287655957043171,-0.009626654908061028,3,,,
,98,41.7285041809082,5.305507183074951,36.425315856933594,0.007338141556829214,-0.009659460745751858,3,,,
,101,32.312355041503906,5.406790733337402,26.90785789489746,0.007396584842354059,-0.009688608348369598,3,,,
,104,40.48191833496094,4.656581401824951,35.827571868896484,0.007479214575141668,-0.00971644464880228,3,,,
,107,38.9139289855957,5.122348785400391,33.793785095214844,0.007542023900896311,-0.009746023453772068,3,,,
,110,32.98003005981445,4.522754669189453,28.459453582763672,0.00759090855717659,-0.009768190793693066,3,,,
,113,40.307411193847656,4.867966651916504,35.44157409667969,0.007669448386877775,-0.009795151650905609,3,,,
,115,,,,,,3,38.65917205810547,4.7889018058776855,33.87234878540039
0.01,116,,,,,,,,,
,116,38.841819763183594,4.465426445007324,34.378475189208984,0.0077333003282547,-0.009815066121518612,4,,,
,119,37.77545166015625,4.829595565795898,32.947906494140625,0.0077769267372787,-0.00983030628412962,4,,,
,122,44.55772399902344,5.030229091644287,39.52952194213867,0.007821955718100071,-0.009843902662396431,4,,,
,125,38.9924430847168,4.999571800231934,33.99488830566406,0.007833805866539478,-0.00985350925475359,4,,,
,128,33.04411315917969,4.700136184692383,28.346004486083984,0.00783963780850172,-0.009868349879980087,4,,,
,131,37.93882369995117,5.156128406524658,32.78471374511719,0.007876794785261154,-0.009894967079162598,4,,,
,134,33.13032913208008,4.802949905395508,28.329378128051758,0.007923952303826809,-0.0099213607609272,4,,,
,137,35.322628021240234,5.149810791015625,30.174762725830078,0.008012061938643456,-0.009958265349268913,4,,,
,140,35.85688018798828,5.353509902954102,30.5052547454834,0.008101212792098522,-0.00998795684427023,4,,,
,143,33.67973327636719,4.553950309753418,29.127609252929688,0.00818174984306097,-0.010010308586061,4,,,
,144,,,,,,4,38.52595138549805,4.719681739807129,33.808067321777344
0.01,145,,,,,,,,,
,146,34.525421142578125,4.808377265930176,29.71881675720215,0.008262855000793934,-0.010037904605269432,5,,,
,149,35.464839935302734,4.6009016036987305,30.86565399169922,0.008356223814189434,-0.010075542144477367,5,,,
,152,31.14545440673828,4.493817329406738,26.6533203125,0.008424254134297371,-0.010107877664268017,5,,,
,155,34.857078552246094,4.135035514831543,30.72366714477539,0.008524484001100063,-0.010150163434445858,5,,,
,158,36.671443939208984,4.157866477966309,32.51513671875,0.008633212186396122,-0.010194138623774052,5,,,
,161,41.356990814208984,4.5825958251953125,36.77590560913086,0.008709927089512348,-0.01022003311663866,5,,,
,164,38.428924560546875,4.902346611022949,33.528045654296875,0.008771296590566635,-0.010239976458251476,5,,,
,167,37.72618103027344,4.596858978271484,33.130775451660156,0.008803325705230236,-0.010256265290081501,5,,,
,170,29.456218719482422,4.546229362487793,24.911418914794922,0.008848246186971664,-0.01027811598032713,5,,,
,173,47.603416442871094,4.9086408615112305,42.6961784362793,0.008898470550775528,-0.010302254930138588,5,,,
,173,,,,,,5,38.5283317565918,4.678000450134277,33.851741790771484
0.01,174,,,,,,,,,
,176,36.18230056762695,4.843912601470947,31.339797973632812,0.008899366483092308,-0.010313021950423717,6,,,
,179,29.018272399902344,4.899872303009033,24.11981201171875,0.00891642365604639,-0.010329015552997589,6,,,
,182,27.70998191833496,4.410890579223633,23.300479888916016,0.008964444510638714,-0.010353649966418743,6,,,
,185,32.3892822265625,4.386776447296143,28.003841400146484,0.00904283206909895,-0.010379324667155743,6,,,
,188,30.407108306884766,4.792399883270264,25.615989685058594,0.009126695804297924,-0.010408301837742329,6,,,
,191,36.089683532714844,4.2614946365356445,31.829431533813477,0.00918637029826641,-0.010428930632770061,6,,,
,194,35.65135192871094,4.761928081512451,30.89064598083496,0.00922987051308155,-0.010452322661876678,6,,,
,197,31.976654052734375,4.611875057220459,27.365991592407227,0.00925818644464016,-0.01047059427946806,6,,,
,200,29.73261070251465,4.611454010009766,25.122356414794922,0.00929176900535822,-0.010492048226296902,6,,,
,202,,,,,,6,38.461517333984375,4.634068965911865,33.82863998413086
0.01,203,,,,,,,,,
,203,33.83378601074219,4.718839168548584,29.11613655090332,0.009331452660262585,-0.010520031675696373,7,,,
,206,34.05333709716797,4.639719486236572,29.414796829223633,0.009364216588437557,-0.010543889366090298,7,,,
,209,28.6704044342041,5.644222259521484,23.027368545532227,0.009383170865476131,-0.010568526573479176,7,,,
,212,34.65409851074219,4.661230564117432,29.994047164916992,0.009420203976333141,-0.010595329105854034,7,,,
,215,27.499351501464844,4.090391159057617,23.410110473632812,0.009463532827794552,-0.010613915510475636,7,,,
,218,29.18951416015625,3.710853099822998,25.479772567749023,0.009510746225714684,-0.010622604750096798,7,,,
,221,36.35801696777344,4.337300777435303,32.02178955078125,0.009566854685544968,-0.010639906860888004,7,,,
,224,38.112274169921875,4.091988563537598,34.02132034301758,0.009632403030991554,-0.010664473287761211,7,,,
,227,32.879051208496094,5.023553371429443,27.856502532958984,0.009686805307865143,-0.010687233880162239,7,,,
,230,40.697845458984375,5.368383407592773,35.3304328918457,0.009742426685988903,-0.010710199363529682,7,,,
,231,,,,,,7,38.605838775634766,4.612120151519775,33.99467086791992
0.01,232,,,,,,,,,
,233,35.710079193115234,4.822766304016113,30.888259887695312,0.00979588646441698,-0.01074142660945654,8,,,
,236,40.511329650878906,4.443652153015137,36.06857681274414,0.009871327318251133,-0.010772471316158772,8,,,
,239,39.162193298339844,4.623264312744141,34.53980255126953,0.009922672994434834,-0.010794737376272678,8,,,
,242,41.318389892578125,5.41369104385376,35.90553283691406,0.009988582693040371,-0.010823762975633144,8,,,
,245,33.70272445678711,4.73828649520874,28.965259552001953,0.010027640499174595,-0.010848619043827057,8,,,
,248,29.91803741455078,4.461193084716797,25.457651138305664,0.010058697313070297,-0.010866551660001278,8,,,
,251,33.97983932495117,4.890388011932373,29.090229034423828,0.01009964756667614,-0.010879944078624249,8,,,
,254,32.9174919128418,4.990505218505859,27.927749633789062,0.010126465000212193,-0.010892242193222046,8,,,
,257,28.823421478271484,4.8139448165893555,24.010229110717773,0.010147745721042156,-0.010899386368691921,8,,,
,260,33.248966217041016,4.748826026916504,28.5008602142334,0.010186227038502693,-0.01090689655393362,8,,,
,260,,,,,,8,38.834041595458984,4.615697383880615,34.21904373168945
0.01,261,,,,,,,,,
,263,33.980831146240234,5.35291051864624,28.628597259521484,0.010255553759634495,-0.010928425937891006,9,,,
,266,28.904542922973633,5.191060543060303,23.714101791381836,0.010327142663300037,-0.01094532199203968,9,,,
,269,39.05623245239258,4.827640533447266,34.229129791259766,0.010420436970889568,-0.010959357023239136,9,,,
,272,28.315580368041992,4.833148002624512,23.48291015625,0.010503861121833324,-0.010981707833707333,9,,,
,275,35.811134338378906,4.3208537101745605,31.490690231323242,0.010595508851110935,-0.01100491639226675,9,,,
,278,35.297115325927734,4.0438151359558105,31.25365447998047,0.010667665861546993,-0.01102220918983221,9,,,
,281,38.87641525268555,5.233598709106445,33.64311599731445,0.010739605873823166,-0.011038695462048054,9,,,
,284,46.50511932373047,4.8695573806762695,41.63582992553711,0.01078119408339262,-0.011047331616282463,9,,,
,287,29.622591018676758,4.5849609375,25.03790283203125,0.0107812425121665,-0.01105294656008482,9,,,
,289,,,,,,9,38.80939865112305,4.575196266174316,34.2344856262207
0.01,290,,,,,,,,,
,290,28.89948081970215,4.284621715545654,24.615140914916992,0.010778353549540043,-0.011060396209359169,10,,,
,293,28.394588470458984,5.244980335235596,23.149883270263672,0.010802040807902813,-0.011076911352574825,10,,,
,296,39.804710388183594,4.442073345184326,35.3629035949707,0.010842121206223965,-0.01110761146992445,10,,,
,299,39.839805603027344,4.931243896484375,34.908817291259766,0.010886861942708492,-0.011143399402499199,10,,,
,302,40.06428527832031,4.745066165924072,35.319461822509766,0.01093332003802061,-0.011175910010933876,10,,,
,305,40.60950469970703,5.030397415161133,35.57931900024414,0.01099412702023983,-0.011207574978470802,10,,,
,308,42.49155807495117,5.092345237731934,37.399410247802734,0.011032095178961754,-0.01122965570539236,10,,,
,311,35.25199890136719,4.330930709838867,30.92125701904297,0.011049102060496807,-0.011238845065236092,10,,,
,314,38.65239334106445,4.7133636474609375,33.939205169677734,0.011067040264606476,-0.011240232735872269,10,,,
,317,33.01242446899414,4.172848701477051,28.839719772338867,0.011102104559540749,-0.011244408786296844,10,,,
,318,,,,,,10,38.978763580322266,4.577445030212402,34.40144348144531
0.001,319,,,,,,,,,
,320,31.159122467041016,4.552302837371826,26.60694694519043,0.011120001785457134,-0.011247368529438972,11,,,
,323,34.86288070678711,4.411245346069336,30.451763153076172,0.01112181507050991,-0.011247929185628891,11,,,
,326,34.00139236450195,3.832609176635742,30.16891098022461,0.011124005541205406,-0.011248431168496609,11,,,
,329,27.107196807861328,4.289424896240234,22.817895889282227,0.011125809513032436,-0.011249172501266003,11,,,
,332,36.28350067138672,4.50811767578125,31.77550506591797,0.011127080768346786,-0.011250392533838749,11,,,
,335,42.80575942993164,4.98132848739624,37.82455825805664,0.011128101497888565,-0.011251798830926418,11,,,
,338,31.858055114746094,4.721775531768799,27.136404037475586,0.011128511279821396,-0.011253050528466702,11,,,
,341,28.974773406982422,4.09548807144165,24.87940788269043,0.011135700158774853,-0.011256392113864422,11,,,
,344,43.198421478271484,5.009236812591553,38.18930435180664,0.011143874377012253,-0.011259393766522408,11,,,
,347,40.23086929321289,5.223896503448486,35.007083892822266,0.011150984093546867,-0.011262200772762299,11,,,
,347,,,,,,11,38.966190338134766,4.573051929473877,34.39324188232422
0.001,348,,,,,,,,,
,350,25.520631790161133,3.9360923767089844,21.58464813232422,0.01115854736417532,-0.011265809647738934,12,,,
,353,23.170595169067383,4.469699382781982,18.700998306274414,0.011166032403707504,-0.011268861591815948,12,,,
,356,43.99174118041992,4.301402568817139,39.690433502197266,0.011175991967320442,-0.011272079311311245,12,,,
,359,33.50189971923828,4.639886856079102,28.862106323242188,0.011183937080204487,-0.011275321245193481,12,,,
,362,35.587249755859375,4.029969215393066,31.557363510131836,0.011191245168447495,-0.011278067715466022,12,,,
,365,42.14179229736328,4.765013217926025,37.376861572265625,0.011196430772542953,-0.011280611157417297,12,,,
,368,38.461124420166016,4.567588806152344,33.893619537353516,0.01120093371719122,-0.011282519437372684,12,,,
,371,33.96479415893555,4.799925804138184,29.16494369506836,0.011206590570509434,-0.011285255663096905,12,,,
,374,40.01777648925781,5.1684417724609375,34.84941101074219,0.01121131144464016,-0.011287371627986431,12,,,
,376,,,,,,12,38.970699310302734,4.572937488555908,34.397830963134766
