lr-Adam,step,tr_loss,tr_loss_hmm,tr_loss_Y,tr_reg_l1,tr_reg_emission,epoch,val_loss,val_loss_hmm,val_loss_Y
0.01,0,,,,,,,,,
,2,35.847129821777344,5.198760032653809,30.65178108215332,0.005040556192398071,-0.008449812419712543,0,,,
,5,38.7693977355957,5.170866012573242,33.601890563964844,0.005122364964336157,-0.00848475657403469,0,,,
,8,36.98420333862305,5.170995712280273,31.816539764404297,0.005201603285968304,-0.008535169996321201,0,,,
,11,42.24539566040039,4.553559303283691,37.69512939453125,0.0052908193320035934,-0.008584081195294857,0,,,
,14,38.903682708740234,4.837244987487793,34.0697021484375,0.0053621260449290276,-0.00862879678606987,0,,,
,17,36.93397903442383,4.341111183166504,32.59611892700195,0.005411950405687094,-0.008663877844810486,0,,,
,20,36.5725212097168,4.900792121887207,31.674962997436523,0.005470922216773033,-0.008704938925802708,0,,,
,23,37.16976547241211,5.372547149658203,31.800437927246094,0.005534381605684757,-0.008755991235375404,0,,,
,26,38.3100700378418,4.829681396484375,33.48359298706055,0.005600965116173029,-0.00880399253219366,0,,,
,28,,,,,,0,38.712440490722656,4.921535491943359,33.79409408569336
0.01,29,,,,,,,,,
,29,36.822147369384766,4.852811813354492,31.97252082824707,0.005663563031703234,-0.008850461803376675,1,,,
,32,42.3896369934082,5.074855327606201,37.317955017089844,0.005723031237721443,-0.008894442580640316,1,,,
,35,37.53150177001953,4.692320346832275,32.842342376708984,0.005776819307357073,-0.008936258964240551,1,,,
,38,39.716739654541016,5.160552501678467,34.5593376159668,0.005837318021804094,-0.00898741465061903,1,,,
,41,39.28331756591797,5.20001745223999,34.08645248413086,0.005892252083867788,-0.009044893085956573,1,,,
,44,38.36551284790039,5.183042049407959,33.18561553955078,0.005948688369244337,-0.009090031497180462,1,,,
,47,35.87938690185547,5.123163223266602,30.75934600830078,0.006014954764395952,-0.009134694002568722,1,,,
,50,34.473262786865234,5.012180328369141,29.46417236328125,0.006077898200601339,-0.009167810901999474,1,,,
,53,41.265995025634766,5.12625789642334,36.14276885986328,0.006162382196635008,-0.009194551967084408,1,,,
,56,33.996498107910156,4.401683807373047,29.597803115844727,0.006236651446670294,-0.00922803021967411,1,,,
,57,,,,,,1,38.579925537109375,4.802412986755371,33.780479431152344
0.01,58,,,,,,,,,
,59,36.630889892578125,4.509936332702637,32.123905181884766,0.006308083888143301,-0.009261693805456161,2,,,
,62,38.08282470703125,4.784067153930664,33.301673889160156,0.006383823696523905,-0.009296627715229988,2,,,
,65,37.83417892456055,4.6555986404418945,33.181480407714844,0.006438959389925003,-0.009337528608739376,2,,,
,68,40.69218826293945,4.730775833129883,35.96428298950195,0.006494164001196623,-0.009365043602883816,2,,,
,71,36.797000885009766,4.62654972076416,32.173282623291016,0.006557832006365061,-0.009389401413500309,2,,,
,74,39.72098159790039,5.146822929382324,34.57695388793945,0.006619601976126432,-0.009413800202310085,2,,,
,77,38.4951171875,4.791275501251221,33.70657730102539,0.006715483497828245,-0.009447566233575344,2,,,
,80,36.92076873779297,4.307065963745117,32.61637878417969,0.00679740821942687,-0.009477255865931511,2,,,
,83,36.95451354980469,5.002747535705566,31.95439910888672,0.006872465368360281,-0.009507879614830017,2,,,
,86,34.239105224609375,4.555734634399414,29.68597984313965,0.006927655544131994,-0.009537206031382084,2,,,
,86,,,,,,2,38.655574798583984,4.703620910644531,33.954551696777344
0.01,87,,,,,,,,,
,89,41.05852508544922,4.448116779327393,36.61298751831055,0.006995877716690302,-0.009574532508850098,3,,,
,92,36.33119201660156,4.321920394897461,32.011837005615234,0.0070421816781163216,-0.00960704404860735,3,,,
,95,36.70747375488281,4.90049934387207,31.809541702270508,0.007070005871355534,-0.009637044742703438,3,,,
,98,36.75178146362305,5.206602096557617,31.54773712158203,0.007101231720298529,-0.009664221666753292,3,,,
,101,34.57716751098633,4.370367050170898,30.209346771240234,0.007150399964302778,-0.00969452504068613,3,,,
,104,35.977779388427734,4.4994001388549805,31.48089027404785,0.007210107985883951,-0.009721147827804089,3,,,
,107,37.826202392578125,5.448041915893555,32.3806266784668,0.007289429195225239,-0.009753288701176643,3,,,
,110,38.516239166259766,4.693208694458008,33.82545852661133,0.007355809211730957,-0.009786250069737434,3,,,
,113,35.841773986816406,5.421637535095215,30.422523498535156,0.007410399150103331,-0.009801226668059826,3,,,
,115,,,,,,3,38.48810577392578,4.621963024139404,33.86848831176758
0.01,116,,,,,,,,,
,116,35.642181396484375,4.602407932281494,31.0421142578125,0.007482250686734915,-0.009820952080190182,4,,,
,119,33.42250442504883,4.161891937255859,29.26291275024414,0.007539282087236643,-0.009836218319833279,4,,,
