lr-Adam,step,tr_loss,tr_loss_Y,tr_reg_l1,epoch,val_loss,val_loss_Y,val_reg_l1
0.01,0,,,,,,,
,2,0.6714425086975098,0.6691620349884033,0.0022804876789450645,0,,,
,5,0.6418247222900391,0.6396721005439758,0.0021526142954826355,0,,,
,8,0.6909351348876953,0.6888761520385742,0.002058961195871234,0,,,
,11,0.7196485996246338,0.7176705598831177,0.00197802996262908,0,,,
,14,0.7569226622581482,0.7550064325332642,0.00191621168050915,0,,,
,17,0.6724947094917297,0.670647919178009,0.0018467921763658524,0,,,
,20,0.6637806296348572,0.6620172262191772,0.0017633853713050485,0,,,
,23,0.7073516249656677,0.7056798338890076,0.001671789214015007,0,,,
,26,0.6971173286437988,0.6955145597457886,0.0016027814708650112,0,,,
,29,0.6654434204101562,0.6638655662536621,0.001577838440425694,0,,,
,31,,,,0,0.686246931552887,0.6847074031829834,0.001539596589282155
0.01,32,,,,,,,
,32,0.6726109981536865,0.6710714101791382,0.0015395967056974769,1,,,
,35,0.6564053893089294,0.6549124717712402,0.0014929053140804172,1,,,
,38,0.6708755493164062,0.6693977117538452,0.0014778270851820707,1,,,
,41,0.668694794178009,0.6672040224075317,0.0014907614095136523,1,,,
,44,0.6283986568450928,0.626893162727356,0.0015054702525958419,1,,,
,47,0.6704773902893066,0.6689426898956299,0.0015346832806244493,1,,,
,50,0.6866554021835327,0.6850932240486145,0.0015621554339304566,1,,,
,53,0.7158095240592957,0.7142471075057983,0.001562417601235211,1,,,
,56,0.6667393445968628,0.6651976108551025,0.0015417301328852773,1,,,
,59,0.6111160516738892,0.6095892190933228,0.0015268528368324041,1,,,
,62,0.6515997052192688,0.6500731706619263,0.0015265363035723567,1,,,
,63,,,,1,0.6824352145195007,0.6809156537055969,0.001519605633802712
0.01,64,,,,,,,
,65,0.6623754501342773,0.6608574390411377,0.0015180138871073723,2,,,
,68,0.6777636408805847,0.6762169599533081,0.0015467092161998153,2,,,
,71,0.6365333795547485,0.6349492073059082,0.001584154786542058,2,,,
,74,0.6984198093414307,0.6968122124671936,0.001607613987289369,2,,,
,77,0.6729785799980164,0.6713589429855347,0.0016196322394534945,2,,,
,80,0.6786467432975769,0.6770139932632446,0.0016327236080542207,2,,,
,83,0.618613064289093,0.6169483065605164,0.001664759125560522,2,,,
,86,0.6946476101875305,0.6929383277893066,0.001709270291030407,2,,,
,89,0.6748433113098145,0.6731219291687012,0.0017213550163432956,2,,,
,92,0.640363872051239,0.6386107206344604,0.0017531573539599776,2,,,
,95,0.6172152161598206,0.6154271364212036,0.001788069144822657,2,,,
,95,,,,2,0.6814306378364563,0.6796334981918335,0.0017972600180655718
0.01,96,,,,,,,
