lr-Adam,step,tr_loss,epoch,val_loss
0.01,0,,,
,2,11.63670825958252,0,
,5,11.516416549682617,0,
,8,11.290358543395996,0,
,11,11.160310745239258,0,
,14,11.106569290161133,0,
,17,10.925566673278809,0,
,20,10.605218887329102,0,
,23,10.654281616210938,0,
,26,10.43282699584961,0,
,29,10.270179748535156,0,
,31,,0,10.175897598266602
0.01,32,,,
,32,10.300374031066895,1,
,35,10.017606735229492,1,
,38,9.809218406677246,1,
,41,9.635353088378906,1,
,44,9.617229461669922,1,
,47,9.483689308166504,1,
,50,9.286080360412598,1,
,53,9.204505920410156,1,
,56,9.052502632141113,1,
,59,8.726991653442383,1,
,62,8.553495407104492,1,
,63,,1,8.642308235168457
0.01,64,,,
,65,8.569459915161133,2,
,68,8.312475204467773,2,
,71,8.32960319519043,2,
,74,8.23252010345459,2,
,77,8.192176818847656,2,
,80,8.138376235961914,2,
,83,7.738351345062256,2,
,86,7.878397464752197,2,
,89,7.919910907745361,2,
,92,7.581122398376465,2,
,95,7.120489120483398,2,
,95,,2,7.41640043258667
0.01,96,,,
,98,7.057624816894531,3,
,101,7.255306720733643,3,
,104,7.523109436035156,3,
,107,6.93739128112793,3,
,110,6.766793727874756,3,
,113,6.987062931060791,3,
,116,7.164040565490723,3,
,119,6.898800849914551,3,
,122,7.010532379150391,3,
,125,6.566890716552734,3,
,127,,3,6.670466899871826
0.01,128,,,
,128,6.366766929626465,4,
,131,6.40976095199585,4,
,134,6.774514198303223,4,
,137,7.00422477722168,4,
,140,6.504230499267578,4,
,143,6.470096588134766,4,
,146,6.30201530456543,4,
,149,6.210986137390137,4,
,152,6.615947723388672,4,
,155,6.4442033767700195,4,
,158,6.181949138641357,4,
,159,,4,6.189085483551025
0.01,160,,,
,161,5.955112934112549,5,
,164,5.899076461791992,5,
,167,5.876387119293213,5,
,170,6.134230613708496,5,
,173,6.244759559631348,5,
,176,5.829723358154297,5,
,179,6.400094032287598,5,
,182,5.745640754699707,5,
,185,5.934478282928467,5,
,188,6.116908073425293,5,
,191,5.616641521453857,5,
,191,,5,5.848579406738281
0.01,192,,,
,194,5.909980773925781,6,
,197,5.881077766418457,6,
,200,6.261722564697266,6,
,203,5.464813232421875,6,
,206,5.369848251342773,6,
,209,6.00306510925293,6,
,212,5.819207191467285,6,
,215,5.294006824493408,6,
,218,5.69971227645874,6,
,221,5.348850250244141,6,
,223,,6,5.611595630645752
0.01,224,,,
,224,5.8741559982299805,7,
,227,6.1605706214904785,7,
,230,5.583093166351318,7,
,233,5.560674667358398,7,
,236,5.848763942718506,7,
,239,5.169256687164307,7,
,242,5.319777965545654,7,
,245,6.113176345825195,7,
,248,5.787205696105957,7,
,251,5.472511291503906,7,
,254,4.988650321960449,7,
,255,,7,5.440960884094238
0.01,256,,,
,257,5.6316022872924805,8,
,260,4.842418670654297,8,
,263,4.550061225891113,8,
,266,5.785207748413086,8,
,269,5.05981969833374,8,
,272,5.229048252105713,8,
,275,5.893386363983154,8,
,278,5.481771469116211,8,
,281,5.878681182861328,8,
,284,5.235431671142578,8,
,287,5.596481800079346,8,
,287,,8,5.314907550811768
0.01,288,,,
,290,5.452357769012451,9,
,293,4.880785942077637,9,
,296,5.5953874588012695,9,
,299,5.4920878410339355,9,
,302,5.638629913330078,9,
,305,5.4114460945129395,9,
,308,5.359608173370361,9,
,311,5.404588222503662,9,
,314,6.276867866516113,9,
,317,5.2971038818359375,9,
,319,,9,5.219994068145752
