lr-Adam,step,tr_loss,tr_loss_hmm,tr_loss_Y,tr_reg_l1,tr_reg_emission,epoch,val_loss,val_loss_hmm,val_loss_Y
0.01,0,,,,,,,,,
,2,37.47590637207031,5.5945634841918945,31.88612174987793,0.00629652664065361,-0.011076887138187885,0,,,
,5,38.36936950683594,5.658440589904785,32.71572494506836,0.00634568277746439,-0.011137431487441063,0,,,
,8,34.62053680419922,5.099531650543213,29.525815963745117,0.006383661180734634,-0.011190655641257763,0,,,
,11,35.5682258605957,4.955063343048096,30.617969512939453,0.006433021277189255,-0.011237065307796001,0,,,
,14,37.82182693481445,5.1113128662109375,32.71528625488281,0.006509770639240742,-0.011280928738415241,0,,,
,17,39.19301986694336,5.48534631729126,33.71241760253906,0.006575179286301136,-0.011323103681206703,0,,,
,20,32.066253662109375,5.095094680786133,26.975894927978516,0.00662528071552515,-0.011363061144948006,0,,,
,23,39.02881622314453,5.3899030685424805,33.64362716674805,0.006677892059087753,-0.011395181529223919,0,,,
,26,41.66135787963867,5.076131820678711,36.58991622924805,0.00673475069925189,-0.011421655304729939,0,,,
,28,,,,,,0,38.53477478027344,5.219026565551758,33.32042694091797
0.01,29,,,,,,,,,
,29,35.43742752075195,5.470893859863281,29.97121810913086,0.006782918702811003,-0.011466396041214466,1,,,
,32,41.252254486083984,5.575243949890137,35.68169021606445,0.006825645454227924,-0.011506713926792145,1,,,
,35,32.12847137451172,5.343871116638184,26.789289474487305,0.0068584466353058815,-0.0115475719794631,1,,,
,38,38.807498931884766,4.509313583374023,34.30284881591797,0.006921675987541676,-0.011585011146962643,1,,,
,41,39.10760498046875,5.319862365722656,33.79240036010742,0.006965769920498133,-0.011625192128121853,1,,,
,44,36.96548843383789,5.338711738586426,31.631458282470703,0.006980339530855417,-0.011661582626402378,1,,,
,47,38.673274993896484,4.722512245178223,33.95547103881836,0.0069973403587937355,-0.011702912859618664,1,,,
,50,31.33843421936035,4.800790786743164,26.542360305786133,0.00702214939519763,-0.011739281006157398,1,,,
,53,38.002593994140625,4.360040664672852,33.64725112915039,0.007077857851982117,-0.011776554398238659,1,,,
,56,39.13713455200195,4.650652885437012,34.49116897583008,0.007127752061933279,-0.011815293692052364,1,,,
,57,,,,,,1,38.31834411621094,5.072925090789795,33.25009536743164
0.01,58,,,,,,,,,
,59,43.757633209228516,4.994232177734375,38.76808547973633,0.007171990815550089,-0.011856524273753166,2,,,
,62,36.4565544128418,5.361325263977051,31.099933624267578,0.0071949721314013,-0.011899460107088089,2,,,
,65,37.59992218017578,5.196125030517578,32.408504486083984,0.007229914423078299,-0.011936282739043236,2,,,
,68,39.019126892089844,5.034655570983887,33.98918151855469,0.007267579436302185,-0.01197666022926569,2,,,
,71,41.748077392578125,4.3798017501831055,37.37300491333008,0.007285510655492544,-0.012015488930046558,2,,,
,74,37.536949157714844,4.861579418182373,32.68012237548828,0.0073026916943490505,-0.012054162099957466,2,,,
,77,38.2970085144043,4.316674709320068,33.98509216308594,0.007336319424211979,-0.012091211974620819,2,,,
,80,30.609617233276367,5.492635250091553,25.121753692626953,0.007359366863965988,-0.01213147770613432,2,,,
,83,35.35382080078125,5.059992790222168,30.29859161376953,0.007400771137326956,-0.012166790664196014,2,,,
,86,35.54078674316406,4.181808948516846,31.363731384277344,0.007449326571077108,-0.012201677076518536,2,,,
,86,,,,,,2,38.073917388916016,4.963712692260742,33.11494064331055
0.01,87,,,,,,,,,
,89,39.520233154296875,4.528574466705322,34.99635696411133,0.0075294338166713715,-0.012228860519826412,3,,,
,92,36.188785552978516,4.881871223449707,31.311569213867188,0.00760084530338645,-0.012257937341928482,3,,,
,95,38.107383728027344,5.007699489593506,33.104305267333984,0.007667690049856901,-0.012287287972867489,3,,,
,98,35.2813835144043,4.73756742477417,30.548418045043945,0.007712971419095993,-0.012314918451011181,3,,,
,101,38.222938537597656,4.578330993652344,33.649192810058594,0.007760500069707632,-0.012344488874077797,3,,,
,104,37.67087173461914,4.847909927368164,32.82754898071289,0.007795804180204868,-0.012384822592139244,3,,,
,107,34.963951110839844,4.658379554748535,30.310169219970703,0.007833211682736874,-0.012428292073309422,3,,,
,110,37.45302200317383,5.24775505065918,32.20986557006836,0.007876410149037838,-0.01247267797589302,3,,,
,113,35.49612808227539,4.049374103546143,31.451351165771484,0.007913493551313877,-0.01250748336315155,3,,,
,115,,,,,,3,37.904197692871094,4.8525390625,33.056236267089844
0.01,116,,,,,,,,,
,116,35.079341888427734,4.5497541427612305,30.534168243408203,0.007957142777740955,-0.012537148781120777,4,,,
