lr-Adam,step,tr_loss,epoch,val_loss
0.01,0,,,
,2,11.692681312561035,0,
,5,11.52013111114502,0,
,8,11.374074935913086,0,
,11,11.256433486938477,0,
,14,10.99374771118164,0,
,17,10.918872833251953,0,
,20,10.755348205566406,0,
,23,10.697690963745117,0,
,26,10.400055885314941,0,
,29,10.425429344177246,0,
,31,,0,10.169429779052734
0.01,32,,,
,32,10.056072235107422,1,
,35,9.913518905639648,1,
,38,10.007884979248047,1,
,41,9.893791198730469,1,
,44,9.538792610168457,1,
,47,9.460830688476562,1,
,50,9.19858169555664,1,
,53,9.036663055419922,1,
,56,8.993301391601562,1,
,59,8.826010704040527,1,
,62,8.826082229614258,1,
,63,,1,8.641447067260742
0.01,64,,,
,65,8.573732376098633,2,
,68,8.245436668395996,2,
,71,8.449193000793457,2,
,74,8.12237548828125,2,
,77,8.315985679626465,2,
,80,8.062602996826172,2,
,83,7.816835403442383,2,
,86,7.648582458496094,2,
,89,7.430850982666016,2,
,92,8.043054580688477,2,
,95,7.665445804595947,2,
,95,,2,7.506014347076416
0.01,96,,,
,98,7.599398136138916,3,
,101,7.270666122436523,3,
,104,7.127892017364502,3,
,107,7.489654541015625,3,
,110,6.755143642425537,3,
,113,6.805811405181885,3,
,116,6.910547256469727,3,
,119,6.996260643005371,3,
,122,6.522233963012695,3,
,125,6.473341941833496,3,
,127,,3,6.710596561431885
0.01,128,,,
,128,7.003823757171631,4,
,131,6.4989213943481445,4,
,134,6.390170574188232,4,
,137,6.604640007019043,4,
,140,6.42111873626709,4,
,143,5.835705757141113,4,
,146,5.856119632720947,4,
,149,6.4827470779418945,4,
,152,6.353268623352051,4,
,155,6.414231300354004,4,
,158,6.217813491821289,4,
,159,,4,6.118411064147949
0.01,160,,,
,161,5.941113471984863,5,
,164,6.401913642883301,5,
,167,6.140172481536865,5,
,170,6.074582099914551,5,
,173,5.579272747039795,5,
,176,5.942981719970703,5,
,179,5.345151901245117,5,
,182,5.554910182952881,5,
,185,5.304213047027588,5,
,188,5.957507133483887,5,
,191,5.223321914672852,5,
,191,,5,5.72804594039917
0.01,192,,,
,194,5.87384033203125,6,
,197,5.325475215911865,6,
,200,5.224460601806641,6,
,203,6.074714660644531,6,
,206,5.44487190246582,6,
,209,5.525228500366211,6,
,212,4.953643798828125,6,
,215,5.4472808837890625,6,
,218,6.214409828186035,6,
,221,5.9948625564575195,6,
,223,,6,5.483975410461426
0.01,224,,,
,224,4.71701717376709,7,
,227,5.036052703857422,7,
,230,5.5774335861206055,7,
,233,5.3488922119140625,7,
,236,5.427924633026123,7,
,239,5.6316022872924805,7,
,242,4.951660633087158,7,
,245,5.5734171867370605,7,
,248,5.226545810699463,7,
,251,5.569396018981934,7,
,254,5.208096027374268,7,
,255,,7,5.314767360687256
0.01,256,,,
,257,4.95849609375,8,
,260,5.085630893707275,8,
,263,5.071110725402832,8,
,266,5.04757022857666,8,
,269,5.050137042999268,8,
,272,5.426435470581055,8,
,275,5.250879287719727,8,
,278,4.968761920928955,8,
,281,4.717029571533203,8,
,284,5.501888751983643,8,
,287,5.407670021057129,8,
,287,,8,5.180498123168945
0.01,288,,,
,290,5.253580570220947,9,
,293,5.014655113220215,9,
,296,5.285260200500488,9,
,299,4.729317665100098,9,
,302,4.979601860046387,9,
,305,4.808914661407471,9,
,308,4.995176315307617,9,
,311,4.860570907592773,9,
,314,4.677192687988281,9,
,317,5.122811317443848,9,
,319,,9,5.053466796875
