lr-Adam,step,tr_loss,tr_loss_hmm,tr_loss_Y,tr_reg_l1,tr_reg_emission,epoch,val_loss,val_loss_hmm,val_loss_Y
0.01,0,,,,,,,,,
,2,41.41756057739258,5.970500946044922,35.449867248535156,0.0016486516688019037,-0.004456488881260157,0,,,
,5,40.142967224121094,5.701300621032715,34.444480895996094,0.0016836648574098945,-0.004496544599533081,0,,,
,8,42.57657241821289,5.585744857788086,36.993690490722656,0.0016712247161194682,-0.004535294603556395,0,,,
,11,39.197330474853516,5.157064437866211,34.04310989379883,0.0017356366151943803,-0.004578994121402502,0,,,
,14,41.532833099365234,6.099538803100586,35.43607711791992,0.0018388711614534259,-0.004620700608938932,0,,,
,17,37.19062805175781,4.879688739776611,32.313682556152344,0.0019196121720597148,-0.004662354942411184,0,,,
,20,38.156883239746094,4.715145111083984,33.4444580078125,0.001976572209969163,-0.004695808049291372,0,,,
,23,37.79191970825195,5.116019248962402,32.678585052490234,0.0020414574537426233,-0.004726207349449396,0,,,
,26,40.36154556274414,5.231991767883301,35.13222122192383,0.0020892852917313576,-0.0047558327205479145,0,,,
,28,,,,,,0,39.3585090637207,5.4467902183532715,33.91435623168945
0.01,29,,,,,,,,,
,29,40.292816162109375,5.175223350524902,35.12023162841797,0.002154118148609996,-0.004794721957296133,1,,,
,32,39.560035705566406,5.41292667388916,34.149749755859375,0.002180192619562149,-0.004822061397135258,1,,,
,35,41.2802848815918,5.413865089416504,35.86904525756836,0.0022337744012475014,-0.004858384374529123,1,,,
,38,38.513404846191406,5.138517379760742,33.377532958984375,0.0022462329361587763,-0.0048947944305837154,1,,,
,41,38.72216033935547,5.2706403732299805,33.45418930053711,0.002257233252748847,-0.004929669667035341,1,,,
,44,38.08394241333008,5.096485137939453,32.99018096923828,0.0022398324217647314,-0.004963524639606476,1,,,
,47,41.76739501953125,5.509349822998047,36.26081085205078,0.0022380640730261803,-0.005003247410058975,1,,,
,50,43.98410415649414,5.494816780090332,38.4920654296875,0.0022793281823396683,-0.0050590988248586655,1,,,
,53,35.16720199584961,5.681249618530273,29.488739013671875,0.0023171536158770323,-0.005103473085910082,1,,,
,56,38.89963150024414,5.892053604125977,33.01032638549805,0.002387017011642456,-0.005139506887644529,1,,,
,57,,,,,,1,39.12650680541992,5.314108848571777,33.81511306762695
0.01,58,,,,,,,,,
,59,39.6652946472168,5.028652191162109,34.63935470581055,0.0024653507862240076,-0.005175311118364334,2,,,
,62,38.57328414916992,4.802719593048096,33.77327346801758,0.002502880524843931,-0.005211373791098595,2,,,
,65,35.80546188354492,5.542383193969727,30.265764236450195,0.0025579535868018866,-0.0052459207363426685,2,,,
,68,39.654998779296875,5.381766319274902,34.27589416503906,0.002607528353109956,-0.005270229186862707,2,,,
,71,39.27459716796875,4.747419357299805,34.52983474731445,0.00265056942589581,-0.005306791048496962,2,,,
,74,39.414302825927734,4.9514031410217285,34.465579986572266,0.002667633118107915,-0.005346682388335466,2,,,
,77,37.29241180419922,5.276819705963135,32.01829147338867,0.0026896721683442593,-0.005390075035393238,2,,,
,80,39.43962478637695,5.248012542724609,34.194305419921875,0.0027442562859505415,-0.005435582250356674,2,,,
,83,41.22220993041992,5.405010223388672,35.819862365722656,0.002823501592501998,-0.005485066212713718,2,,,
,86,37.04507827758789,5.0591559410095215,31.988555908203125,0.002897972473874688,-0.00553307868540287,2,,,
,86,,,,,,2,39.0703010559082,5.198599338531494,33.87433624267578
0.01,87,,,,,,,,,
,89,39.69517135620117,4.459719181060791,35.238101959228516,0.002922183834016323,-0.0055719236843287945,3,,,
,92,39.34041213989258,5.152697563171387,34.19038772583008,0.002942783525213599,-0.005613682325929403,3,,,
,95,36.6204719543457,5.027859210968018,31.595308303833008,0.0029568930622190237,-0.005653076805174351,3,,,
,98,38.050777435302734,5.255475997924805,32.798038482666016,0.002951254602521658,-0.005688099190592766,3,,,
,101,36.37156295776367,4.619133472442627,31.755191802978516,0.002962583675980568,-0.005725480150431395,3,,,
,104,38.808963775634766,4.835277557373047,33.97646713256836,0.0029799859039485455,-0.0057584564201533794,3,,,
,107,40.71698760986328,4.978778839111328,35.74102020263672,0.0029877577908337116,-0.005800056736916304,3,,,
,110,37.73634719848633,4.858989715576172,32.880184173583984,0.0030198965687304735,-0.005848134867846966,3,,,
,113,38.489585876464844,4.669843673706055,33.82256317138672,0.003071385668590665,-0.005893716588616371,3,,,
,115,,,,,,3,39.052188873291016,5.078161239624023,33.97684097290039
0.01,116,,,,,,,,,
,116,37.69308853149414,4.381162643432617,33.31473922729492,0.0031351682264357805,-0.005947088822722435,4,,,
,119,37.65850067138672,5.486786842346191,32.174537658691406,0.0031696432270109653,-0.005993160884827375,4,,,
,122,42.706626892089844,4.592791557312012,38.11662673950195,0.003267757361754775,-0.006060941144824028,4,,,
,125,34.22254943847656,5.281714916229248,28.943603515625,0.003366386517882347,-0.006133745890110731,4,,,
,128,34.09193420410156,5.158167362213135,28.9365177154541,0.0034509834367781878,-0.006202708464115858,4,,,
,131,36.133209228515625,4.463019371032715,31.672937393188477,0.0035117585211992264,-0.006258779671043158,4,,,
,134,36.89288330078125,4.812238693237305,32.08340835571289,0.0035605800803750753,-0.00632080901414156,4,,,
,137,38.53839111328125,4.919548511505127,33.62164306640625,0.0035810270346701145,-0.006383246276527643,4,,,
,140,40.432796478271484,4.746825218200684,35.68882369995117,0.003586661070585251,-0.006438546814024448,4,,,
,143,37.57120132446289,4.839066505432129,32.73503875732422,0.003583201440051198,-0.006486521102488041,4,,,
,144,,,,,,4,38.81964874267578,4.993968963623047,33.82860565185547
0.01,145,,,,,,,,,
,146,40.958892822265625,4.823034286499023,36.138797760009766,0.003593950066715479,-0.006529585458338261,5,,,
,149,35.19247055053711,4.753551483154297,30.441850662231445,0.003653827356174588,-0.006587578449398279,5,,,
,152,38.45999526977539,5.330170154571533,33.13274383544922,0.003726643044501543,-0.006644722074270248,5,,,
,155,42.09876251220703,4.981235504150391,37.12045669555664,0.003762982552871108,-0.00669205654412508,5,,,
,158,36.553653717041016,4.616072654724121,31.94058609008789,0.003747684881091118,-0.006750871893018484,5,,,
,161,40.8436393737793,5.014425277709961,35.83229064941406,0.0037286411970853806,-0.006805694196373224,5,,,
,164,37.654563903808594,4.489723205566406,33.16797637939453,0.0037291557528078556,-0.006865788251161575,5,,,
,167,40.882144927978516,4.752278804779053,36.13302230834961,0.003764010965824127,-0.006920922081917524,5,,,
,170,39.94785690307617,4.91353702545166,35.03748321533203,0.0038195622619241476,-0.006981419865041971,5,,,
,173,36.65816116333008,5.344113349914551,31.317222595214844,0.003863441525027156,-0.007037693168967962,5,,,
,173,,,,,,5,38.587196350097656,4.900041580200195,33.690330505371094
0.01,174,,,,,,,,,
,176,38.96788024902344,4.879560947418213,34.091522216796875,0.0038953169714659452,-0.007097337394952774,6,,,
,179,39.10546875,4.3528852462768555,34.75581741333008,0.003928547725081444,-0.007164014969021082,6,,,
,182,35.05924606323242,4.48251485824585,30.580001831054688,0.003952838480472565,-0.007221553009003401,6,,,
,185,36.375301361083984,4.809629917144775,31.568950653076172,0.004011229611933231,-0.007292383816093206,6,,,
,188,40.04018783569336,4.505692481994629,35.53777313232422,0.00408161198720336,-0.007357167545706034,6,,,
,191,36.884464263916016,4.91815185546875,31.969579696655273,0.004140031989663839,-0.007409596350044012,6,,,
,194,36.38936996459961,4.801032066345215,31.591602325439453,0.004191074054688215,-0.007458196021616459,6,,,
,197,36.16205596923828,4.631989479064941,31.533388137817383,0.0041669332422316074,-0.007486856076866388,6,,,
,200,34.52857208251953,4.863759517669678,29.668170928955078,0.004178551957011223,-0.0075326948426663876,6,,,
,202,,,,,,6,38.51353454589844,4.78119421005249,33.735694885253906
0.01,203,,,,,,,,,
,203,33.52864456176758,5.248386859893799,28.283613204956055,0.004222635179758072,-0.0075816684402525425,7,,,
,206,38.69682312011719,4.577639579772949,34.122535705566406,0.004287416581064463,-0.007639487273991108,7,,,
,209,35.66915512084961,4.809120178222656,30.8634033203125,0.004321652930229902,-0.007689290679991245,7,,,
,212,40.01945495605469,4.17856502532959,35.84426498413086,0.0043715923093259335,-0.007746110204607248,7,,,
,215,37.50124740600586,4.69575834274292,32.80888748168945,0.004380236845463514,-0.007779248990118504,7,,,
,218,40.112586975097656,4.745280742645264,35.370731353759766,0.004391643218696117,-0.007816740311682224,7,,,
,221,36.87504577636719,4.92437744140625,31.954113006591797,0.004411583300679922,-0.007854054681956768,7,,,
,224,36.05620574951172,4.440260887145996,31.61940574645996,0.004445525351911783,-0.007902337238192558,7,,,
,227,35.623836517333984,4.979169845581055,30.64811897277832,0.004498082213103771,-0.00794995203614235,7,,,
,230,37.82078552246094,4.937992095947266,32.88623046875,0.004553976468741894,-0.007993477396667004,7,,,
,231,,,,,,7,38.33808898925781,4.704268455505371,33.63726806640625
0.01,232,,,,,,,,,
,233,36.17453384399414,4.2059478759765625,31.972047805786133,0.00458591990172863,-0.008047065697610378,8,,,
,236,41.46702194213867,4.449841499328613,37.02064895629883,0.004626181907951832,-0.008095535449683666,8,,,
,239,31.958904266357422,4.451464653015137,27.51089859008789,0.004680674057453871,-0.00814078375697136,8,,,
,242,39.82864761352539,5.013740062713623,34.81834030151367,0.004758717492222786,-0.008188809268176556,8,,,
,245,39.68626403808594,4.121506690979004,35.56820297241211,0.004785478115081787,-0.008229237981140614,8,,,
,248,41.109375,3.983100414276123,37.12974548339844,0.004798293113708496,-0.008269163779914379,8,,,
,251,37.996009826660156,4.139631271362305,33.8598747253418,0.004818332847207785,-0.008312373422086239,8,,,
,254,36.5220947265625,5.388789653778076,31.136821746826172,0.004839478526264429,-0.008359714411199093,8,,,
,257,35.91618728637695,4.2506256103515625,31.66912269592285,0.004877322819083929,-0.008439278230071068,8,,,
,260,37.64933395385742,4.369008541107178,33.28390884399414,0.004921494517475367,-0.008504660800099373,8,,,
,260,,,,,,8,38.21455764770508,4.614889621734619,33.60325622558594
0.01,261,,,,,,,,,
,263,40.7437858581543,4.412647247314453,36.33473587036133,0.0049706120043993,-0.00856816116720438,9,,,
,266,39.394447326660156,4.631601333618164,34.76646041870117,0.005016855429857969,-0.00863435585051775,9,,,
,269,37.06767654418945,4.556241035461426,32.51506042480469,0.005067590624094009,-0.008687986060976982,9,,,
,272,35.53873825073242,4.458690166473389,31.08365821838379,0.005131961777806282,-0.00873949471861124,9,,,
,275,34.71242141723633,4.879650592803955,29.836400985717773,0.005183796398341656,-0.008817523717880249,9,,,
,278,39.535850524902344,4.486422538757324,35.053070068359375,0.0052624475210905075,-0.008908901363611221,9,,,
,281,37.08272933959961,4.469540596008301,32.61686706542969,0.005303226877003908,-0.008981218561530113,9,,,
,284,37.266849517822266,4.172176837921143,33.098358154296875,0.005366769153624773,-0.00905414205044508,9,,,
,287,38.75403594970703,4.765903949737549,33.9918212890625,0.005423512775450945,-0.009112299419939518,9,,,
,289,,,,,,9,37.65879440307617,4.573177337646484,33.08928298950195
0.01,290,,,,,,,,,
,290,38.34893035888672,4.805215835571289,33.54738235473633,0.005476984195411205,-0.009146730415523052,10,,,
,293,35.511470794677734,4.571446895599365,30.94365692138672,0.005550392437726259,-0.009182490408420563,10,,,
