lr-Adam,step,tr_loss,tr_loss_Y,tr_reg_l1,epoch,val_loss,val_loss_Y,val_reg_l1
0.01,0,,,,,,,
,2,0.7401463389396667,0.7389215230941772,0.0012248107232153416,0,,,
,5,0.7156356573104858,0.7145435810089111,0.0010920828208327293,0,,,
,8,0.730398416519165,0.7293998003005981,0.000998619245365262,0,,,
,11,0.6877960562705994,0.6868722438812256,0.0009238180355168879,0,,,
,14,0.6796730160713196,0.6788157224655151,0.0008572814404033124,0,,,
,17,0.7070359587669373,0.7062413692474365,0.000794563558883965,0,,,
,20,0.7253589630126953,0.724590539932251,0.0007684399024583399,0,,,
,23,0.7247211933135986,0.7239532470703125,0.0007679479895159602,0,,,
,26,0.7118859887123108,0.7111425399780273,0.0007434461731463671,0,,,
,29,0.7054084539413452,0.7046854496002197,0.0007230145274661481,0,,,
,31,,,,0,0.6808826327323914,0.6801518797874451,0.0007307793130166829
0.01,32,,,,,,,
,32,0.7168950438499451,0.7161642909049988,0.0007307793130166829,1,,,
,35,0.6848255395889282,0.6841292381286621,0.0006963296327739954,1,,,
,38,0.7070888876914978,0.7064180374145508,0.0006708619766868651,1,,,
,41,0.6720609664916992,0.6713950037956238,0.0006659519276581705,1,,,
,44,0.6934904456138611,0.6928538680076599,0.0006365754525177181,1,,,
,47,0.7038084268569946,0.7031601667404175,0.0006482756580226123,1,,,
,50,0.6916192173957825,0.6909632682800293,0.0006559460307471454,1,,,
,53,0.6956189274787903,0.6949533224105835,0.0006656008772552013,1,,,
,56,0.7205541133880615,0.7198901176452637,0.0006639863131567836,1,,,
,59,0.6680639386177063,0.6673972606658936,0.0006666793487966061,1,,,
,62,0.7103538513183594,0.7096747159957886,0.0006791534251533449,1,,,
,63,,,,1,0.6879376173019409,0.6872587203979492,0.0006788847385905683
0.01,64,,,,,,,
,65,0.6833128929138184,0.6826327443122864,0.0006801664130762219,2,,,
,68,0.7318143844604492,0.7311208248138428,0.0006935400888323784,2,,,
,71,0.6547436118125916,0.6540480852127075,0.0006955292192287743,2,,,
,74,0.7057240605354309,0.7050187587738037,0.0007053152075968683,2,,,
